couponNo,isUsed
1UWSZ15SYPYKAFD8,0
CE33W32Z18MHJMPB,0
8ADHNK90BZ0LR19B,0
KDMNVPM7HMUNEB3E,0
JAA88MB0W560105R,0
J1FY277E39WXGYDP,0
F5H0S1S2CX9XA12K,0
EV0RTGF0VCT3C58A,0
E469F7X29WJZG1P4,0
36S0D2Y9D96VEG8W,0
9A16HLRTEAS8DJUY,0
B63KVLKYK9NH1SRS,0
JFH74U4CB4BUZJYT,0
9AVX1EZJR85TCL1N,0
2Y1PVRSPXSTAZ7VJ,0
F8HW90G6LGNG4V9N,0
A1Y94SDENG85PVXA,0
7YLTD772T8HDEP32,0
CV8J0KLBRTT9VH2V,0
AU69AD7CG1LCFGCC,0
A9YPH43MKKH1WV2H,0
52PEJH7YF5HYNAX1,0
0FV0FE53USUAXP87,0
A39C9Y91SWJZR7EA,0
KDPPMUF2U4ULZM85,0
JALVYGU584ZP5NJC,0
JB4RWHPP4B91MCW0,0
ATPAB6WWCL9TRXLA,0
1SEZM69NW6PWRVP7,0
HVJRY89YLX1DUME9,0
22ZL410D30BBH458,0
967V2W56AK3KRZES,0
7MMTLV25T6PBU9S8,0
56VNR7H97TPLW9RZ,0
DP8AV4C13H49A00W,0
FKNLEPK9SR8HZYC4,0
KKVLL41ZJ3BL51G2,0
96SCJ92Y3JDN6PHY,0
2D8E3WZRY7FBBHSZ,0
3GDW4V8ARDXZ3AR2,0
3H6LKJLY2876T3TL,0
HBG9KU52LGV7KL6N,0
C55THS3J027136SU,0
0A6RRGDBDNZHH5EY,0
7RGTTAV648S5A0X0,0
GSBLUH1TNYU802HF,0
DUWTHMV4Y8397HV9,0
HLB9THTGTGND92EG,0
KE6K5FFGNFARA3U2,0
CKHUGD8GHK3JGU3F,0
KWUPN1HW640V0T63,0
6MWXP49KDF87RH1G,0
AUPUVE15XFSA5NHK,0
0A3AGA6V5RCC98ZE,0
8H9TXZYZRMA2PDV5,0
FD7JNUZAG0KJB7D3,0
HA0F2FALAAEGC1Y9,0
K31R9C4HZMZ2GHZV,0
H9KF5LT02071WVF6,0
0GZ851PK9FYK4UNC,0
7X3NFRY15T1ELVGR,0
HD6L0GYKTEK145YW,0
2KN9KFAZ57HM7RSC,0
AX89BTGWEN0J1B6W,0