name,link,status
Matt Franco - Acoustic Covers Selection,https://play.google.com/music/m/Bepyb5koswotcfkzgufkfotul6e?t=Acoustic_Covers_Selection_-_Matt_Franco,Active
Matt Franco - Acústico Latino 2018,https://play.google.com/music/m/Bbak773z2ifucdubdca6umymy4e?t=Acustico_Latino_2018_-_Matt_Franco,Active
Sophia Atwood - Happy Pop Hits,https://play.google.com/music/m/Buzu23j562t7mqwhcf35ie3pluu?t=Happy_Pop_Hits_-_Sophia_Atwood,Active
Ellie Bennet - No Time To Die,https://play.google.com/music/m/Bsix22ig5crk53ivdchevowuqba?t=No_Time_To_Die_-_Ellie_Bennett,Active
Janet Hill -  Soft Pop Hits,https://play.google.com/music/m/Boewmcg4yvthdgo3fpc5cxyyf3i?t=Soft_Pop_Hits_-_Janet_Hill,Active
Dance Time Trio - Dance Hits 2020,https://play.google.com/music/m/Bbgsb3uxghymvxn2hdxuqcuya2a?t=Dance_Hits_2020_-_Dance_Time_Trio,Active
Mariano Lombardo - Pop Latino 2020,https://play.google.com/music/m/Bp2gpjv3wvfgfgxd773ahh2erea?t=Pop_Latino_2020_-_Mariano_Lombardo,Active
DJ Challenge - TikTok Dances 2020,https://play.google.com/music/m/Bfp5wl3tyunqfsjraimbetrfncq?t=TikTok_Dances_2020_-_Metrixx,Active
Alex Lenard - Chill Hits 2020,https://play.google.com/music/m/Bz4fhpw2x5mlqzsjtbfrowflkfm?t=Chill_Hits_2020_-_Alex_Lenard,Active
Thomas Vee - Top Pop 2020,https://play.google.com/music/m/Blca4tjrm7bwln26buzbqcpgolm?t=Top_Pop_2020_-_Thomas_Vee,Active
Dirty Land - Rock Hits,https://play.google.com/music/m/Bcx4gai33gswlnwgahx7rdniodu?t=Rock_Hits_-_Dirty_Land,Active
Ray-X Pop Hits 2020,https://play.google.com/music/m/Bblweygonz3xbvuv3v4ltgobecm?t=Pop_Hits_2020_-_Ray-X,Active
Cooper Lee - Pop Music Hits,https://play.google.com/music/m/Bsy4fvw7pd4pxfc2blox3wp6wcq?t=Pop_Music_Hits_-_Cooper_Lee,Active
Lil Heavy Chainz - Rap Hits 2020,https://play.google.com/music/m/B7drjgwa2huqzx6glbkeh2hleky?t=Rap_Hits_2020_-_Lil_Heavy_Chainz,Active
Lil Deal - Top HipHop 2020,https://play.google.com/music/m/Bkb5lsdaxesmrkinudip23tmlk4?t=Top_HipHop_2020_-_Lil_Deal,Active
Best Hip Hop Selection 2018,https://play.google.com/music/m/Bqc2dboqnrjj5kxlvf4tmlpwwse?t=Best_Hip_Hop_Selection_2018_-_Various_Artists,Active
Metrixx - Summer Hits,https://play.google.com/music/m/Bja4rtxpaa7nhfh5yte6iql4h3q?t=Summer_Hits_-_Metrixx,Active
Falan Dave - Big Hits 2020,https://play.google.com/music/m/Bkvzrmgh3rr4c6xjpma2c5nbze4?t=Big_Hits_2020_-_Falan_Dave,Active
Metrixx - Summer Hits 2020,https://play.google.com/music/m/Bpzlpkstr2rpigr2pcxdnvgtiaa?t=Summer_Hits_2020_-_Metrixx,Active
Dreaming High - Broken Heart 2020,https://play.google.com/music/m/Bnwfibi66t7rikpqmwtmibgm24y?t=Broken_Heart_2020_-_Dreaming_High,Active
Dreaming High - Love Songs 2020,https://play.google.com/music/m/Bnb2qubhxmn2iiwfuqblqjxggoa?t=Love_Songs_2020_-_Dreaming_High,Active
Dreaming High - Sad Songs 2020,https://play.google.com/music/m/B2ycdctyzljhycjqlkeo5cefmsa?t=Sad_Songs_2020_-_Dreaming_High,Active
Ritmo Fuerte - Latin Pop 2020,https://play.google.com/music/m/Bixb4y64lumdldrgrgremhjeupq?t=Latin_Pop_2020_-_Ritmo_Fuerte,Active
Ritmo Fuerte - Musica Latina 2020,https://play.google.com/music/m/Bviqb5xhdzpxe3owiee2vpcjba4?t=Musica_Latina_2020_-_Ritmo_Fuerte,Active
Ray-X - Workout Beats 2020,https://play.google.com/music/m/Bpuvieypdrpwitbj4yl5gw2i5yi?t=Workout_Beats_2020_-_Ray-X,Active
Thomas Rivera - Dance Party,https://play.google.com/music/m/Blgivdy6og3sm47wlpe246dwucy?t=Dance_Party_2020_-_Thomas_Rivera,Active
Thomas Rivera - Dance Pop 2020,https://play.google.com/music/m/B4icjc75jtey5bijnsze57az3ya?t=Dance_Pop_2020_-_Thomas_Rivera,Active
Thomas Rivera - Running Hits 2020,https://play.google.com/music/m/Bivhvqy3qow5vbibizv34wycm2e?t=Running_Hits_2020_-_Thomas_Rivera,Active
Thomas Rivera - Workout Music 2020,https://play.google.com/music/m/Bzbw4odrmcahjdpvz4pld377jey?t=Workout_Music_2020_-_Thomas_Rivera,Active
Don Blaine - Chill Pop 2020,https://play.google.com/music/m/Bbean24digjmyn3m7nki6dnzly4?t=Chill_Pop_2020_-_Don_Blainee,Active
Ray-X - Dance Hits 2020,https://play.google.com/music/m/B6oklf5nbk4eit5v56jsju5xeg4?t=Dance_Hits_2020_-_Ray-X,Active
Viral DJs - TikTok Songs 2020,https://play.google.com/music/m/Bfvqd77lmgmnketewja6bddiuki?t=TikTok_Songs_2020_-_Viral_DJs,Active
Metrixx - Best Songs 2020,https://play.google.com/music/m/Br4efri2mgc3w2x7nktfx73ixwe?t=Best_Songs_2020_-_Metrixxx,Active
Tik Tok Dances 2020,https://play.google.com/music/m/Bfaan4jiucic3kfagyh54mroi2u?t=Tik_Tok_Dances_2020_-_Various_Artists,Active
Dance Time Trio - Tik Tok Viral 2020,https://play.google.com/music/m/B7cdkv3kgoehdn3p3l3j4weabw4?t=Tik_Tok_Viral_2020_-_Dance_Time_Trio,Active
Calvin Sparks - Mood Booster Playlist,https://play.google.com/music/m/Ba54mj3dyklxvryau4hws2pjqda?t=Mood_Booster_Playlist_-_Calvin_Sparks,Active
Lil Deal - Rap Workout 2020,https://play.google.com/music/m/Bcxdcyz7nkp7v743jsfmcwdchzq?t=Rap_Workout_2020_-_Lil_Deal,Active